#Time	Computed	Exact
16.175	857.717	858.058
16.2	854.46	854.797
16.225	851.229	851.563
16.25	848.024	848.354
16.275	844.846	845.172
16.3	841.692	842.015
16.325	838.564	838.883
16.35	835.46	835.776
16.375	832.38	832.693
16.4	829.325	829.635
16.425	826.294	826.6
16.45	823.286	823.59
16.475	820.302	820.602
16.5	817.34	817.637
16.525	814.401	814.695
16.55	811.485	811.776
16.575	808.59	808.879
16.6	805.718	806.004
16.625	802.867	803.15
16.65	800.038	800.318
16.675	797.23	797.507
16.7	794.442	794.717
16.725	791.676	791.947
16.75	788.929	789.198
16.775	786.203	786.47
16.8	783.497	783.761
16.825	780.81	781.072
16.85	778.143	778.402
16.875	775.495	775.752
16.9	772.866	773.121
16.925	770.256	770.508
16.95	767.665	767.915
16.975	765.092	765.34
17	762.538	762.783
17.025	760.001	760.244
17.05	757.482	757.723
17.075	754.981	755.219
17.1	752.497	752.733
17.125	750.03	750.264
17.15	747.581	747.813
17.175	745.148	745.378
17.2	742.732	742.96
17.225	740.332	740.558
17.25	737.949	738.173
17.275	735.582	735.804
17.3	733.231	733.451
17.325	730.896	731.114
17.35	728.576	728.793
17.375	726.272	726.487
17.4	723.984	724.196
17.425	721.71	721.921
17.45	719.452	719.661
17.475	717.208	717.415
17.5	714.979	715.185
17.525	712.765	712.969
17.55	710.565	710.767
17.575	708.379	708.58
17.6	706.208	706.407
17.625	704.05	704.248
17.65	701.906	702.102
17.675	699.777	699.971
17.7	697.66	697.853
17.725	695.557	695.749
17.75	693.468	693.657
17.775	691.391	691.579
17.8	689.328	689.515
17.825	687.277	687.463
17.85	685.24	685.424
17.875	683.215	683.397
17.9	681.203	681.384
17.925	679.203	679.382
17.95	677.215	677.393
17.975	675.24	675.417
18	673.276	673.452
18.025	671.325	671.499
18.05	669.386	669.559
18.075	667.458	667.63
18.1	665.542	665.712
18.125	663.637	663.806
18.15	661.744	661.912
18.175	659.862	660.029
18.2	657.992	658.157
18.225	656.133	656.297
18.25	654.284	654.447
18.275	652.447	652.609
18.3	650.62	650.781
18.325	648.804	648.964
18.35	646.999	647.157
18.375	645.204	645.361
18.4	643.419	643.576
18.425	641.645	641.801
18.45	639.882	640.036
18.475	638.128	638.281
18.5	636.385	636.536
18.525	634.651	634.802
18.55	632.927	633.077
18.575	631.213	631.362
18.6	629.509	629.657
18.625	627.815	627.962
18.65	626.13	626.276
18.675	624.454	624.599
18.7	622.788	622.932
18.725	621.131	621.274
18.75	619.484	619.626
18.775	617.845	617.987
18.8	616.216	616.356
18.825	614.596	614.735
18.85	612.984	613.123
18.875	611.382	611.519
18.9	609.788	609.925
18.925	608.203	608.339
18.95	606.626	606.761
18.975	605.058	605.192
19	603.499	603.632
19.025	601.948	602.08
19.05	600.405	600.537
19.075	598.871	599.002
19.1	597.345	597.475
19.125	595.827	595.956
19.15	594.317	594.445
19.175	592.815	592.942
19.2	591.321	591.447
19.225	589.834	589.96
19.25	588.356	588.481
19.275	586.885	587.01
19.3	585.423	585.546
19.325	583.967	584.09
19.35	582.519	582.642
19.375	581.079	581.201
19.4	579.647	579.767
19.425	578.221	578.341
19.45	576.803	576.923
19.475	575.392	575.511
19.5	573.989	574.107
19.525	572.592	572.71
19.55	571.203	571.32
19.575	569.821	569.937
19.6	568.446	568.561
19.625	567.077	567.192
19.65	565.716	565.83
19.675	564.361	564.475
19.7	563.014	563.126
19.725	561.673	561.785
19.75	560.338	560.45
19.775	559.01	559.121
19.8	557.689	557.8
19.825	556.375	556.484
19.85	555.066	555.176
19.875	553.765	553.873
19.9	552.469	552.577
19.925	551.18	551.288
19.95	549.898	550.004
19.975	548.621	548.727
20	547.351	547.457
