#Time	Computed	Exact
15.725	1185.64	1186.66
15.75	1179.09	1180.09
15.775	1172.61	1173.59
15.8	1166.19	1167.16
15.825	1159.84	1160.79
15.85	1153.55	1154.49
15.875	1147.33	1148.25
15.9	1141.17	1142.08
15.925	1135.07	1135.97
15.95	1129.04	1129.92
15.975	1123.07	1123.94
16	1117.16	1118.01
16.025	1111.31	1112.15
16.05	1105.52	1106.35
16.075	1099.79	1100.6
16.1	1094.12	1094.92
16.125	1088.5	1089.29
16.15	1082.94	1083.72
16.175	1077.44	1078.21
16.2	1072	1072.75
16.225	1066.61	1067.35
16.25	1061.27	1062
16.275	1055.99	1056.71
16.3	1050.76	1051.47
16.325	1045.58	1046.28
16.35	1040.46	1041.14
16.375	1035.39	1036.06
16.4	1030.36	1031.03
16.425	1025.39	1026.05
16.45	1020.47	1021.11
16.475	1015.6	1016.23
16.5	1010.77	1011.4
16.525	1005.99	1006.61
16.55	1001.26	1001.87
16.575	996.578	997.176
16.6	991.94	992.529
16.625	987.347	987.928
16.65	982.799	983.371
16.675	978.295	978.859
16.7	973.834	974.391
16.725	969.417	969.966
16.75	965.043	965.583
16.775	960.71	961.243
16.8	956.419	956.944
16.825	952.168	952.686
16.85	947.958	948.469
16.875	943.788	944.292
16.9	939.658	940.154
16.925	935.566	936.055
16.95	931.512	931.995
16.975	927.496	927.972
17	923.518	923.987
17.025	919.576	920.039
17.05	915.671	916.128
17.075	911.802	912.252
17.1	907.968	908.412
17.125	904.169	904.607
17.15	900.405	900.837
17.175	896.674	897.101
17.2	892.977	893.399
17.225	889.314	889.73
17.25	885.683	886.093
17.275	882.085	882.49
17.3	878.518	878.918
17.325	874.983	875.378
17.35	871.479	871.869
17.375	868.005	868.39
17.4	864.562	864.942
17.425	861.149	861.524
17.45	857.765	858.136
17.475	854.411	854.777
17.5	851.085	851.446
17.525	847.787	848.144
17.55	844.518	844.87
17.575	841.276	841.624
17.6	838.061	838.406
17.625	834.874	835.214
17.65	831.713	832.049
17.675	828.578	828.91
17.7	825.469	825.797
17.725	822.386	822.71
17.75	819.328	819.648
17.775	816.295	816.612
17.8	813.286	813.599
17.825	810.302	810.612
17.85	807.342	807.648
17.875	804.406	804.708
17.9	801.493	801.792
17.925	798.603	798.899
17.95	795.736	796.029
17.975	792.892	793.181
18	790.07	790.356
18.025	787.27	787.553
18.05	784.492	784.772
18.075	781.735	782.012
18.1	778.999	779.273
18.125	776.285	776.556
18.15	773.591	773.859
18.175	770.917	771.183
18.2	768.264	768.527
18.225	765.631	765.891
18.25	763.017	763.274
18.275	760.423	760.678
18.3	757.849	758.101
18.325	755.293	755.542
18.35	752.756	753.003
18.375	750.238	750.482
18.4	747.738	747.98
18.425	745.256	745.496
18.45	742.793	743.03
18.475	740.347	740.581
18.5	737.918	738.151
18.525	735.507	735.737
18.55	733.113	733.341
18.575	730.736	730.962
18.6	728.376	728.6
18.625	726.033	726.254
18.65	723.705	723.925
18.675	721.395	721.612
18.7	719.1	719.315
18.725	716.82	717.034
18.75	714.557	714.768
18.775	712.309	712.518
18.8	710.077	710.284
18.825	707.859	708.065
18.85	705.657	705.86
18.875	703.469	703.671
18.9	701.296	701.496
18.925	699.138	699.336
18.95	696.994	697.191
18.975	694.864	695.059
19	692.749	692.942
19.025	690.647	690.838
19.05	688.559	688.749
19.075	686.485	686.673
19.1	684.424	684.61
19.125	682.376	682.561
19.15	680.342	680.525
19.175	678.321	678.503
19.2	676.313	676.493
19.225	674.317	674.496
19.25	672.334	672.512
19.275	670.364	670.54
19.3	668.406	668.581
19.325	666.461	666.634
19.35	664.528	664.699
19.375	662.606	662.777
19.4	660.697	660.866
19.425	658.8	658.967
19.45	656.914	657.08
19.475	655.04	655.205
19.5	653.177	653.341
19.525	651.326	651.488
19.55	649.486	649.647
19.575	647.657	647.816
19.6	645.839	645.997
19.625	644.032	644.189
19.65	642.236	642.392
19.675	640.45	640.605
19.7	638.676	638.829
19.725	636.911	637.064
19.75	635.158	635.309
19.775	633.414	633.564
19.8	631.681	631.83
19.825	629.958	630.106
19.85	628.245	628.392
19.875	626.542	626.688
19.9	624.848	624.993
19.925	623.165	623.309
19.95	621.491	621.634
19.975	619.827	619.969
20	618.172	618.313
